latitude;longitude;penggunaan_bbm;tingkat_kemacetan;risiko_pengiriman
31.091.932.674.524.600;-10.810.769.158.610.200;5.000.131.506.221.440;6.371.600.558.967.300;855.193.204.953.505
30.070.003.684.277.800;-11.244.310.862.419.900;5.499.597.456.890.530;0.02752314136845652;9.507.992.427.306.570
4.984.906.613.773.690;-7.161.758.986.340.120;5.055.265.314.416.010;0.16174770960498508;7.288.937.789.922.240
46.407.814.294.284.400;-1.167.420.814.726.230;500.001.952.921.151;0.1472895627077731;1.387.199.325.397.530
4.998.764.716.354.250;-7.576.320.376.857.520;50.012.189.228.125.200;0.04496885936334716;968.754.604.920.816
30.921.835.880.392.100;-7.002.335.861.157.450;8.905.541.594.672.300;7.245.660.533.533.710;9.999.963.210.959.900
43.337.817.659.903.400;-1.170.449.719.635.340;6.181.002.929.221.050;8.731.043.656.098.090;9.735.708.805.964.920
30.819.487.603.948.600;-7.615.005.719.454.770;17.546.421.798.675.500;9.825.671.342.862.810;9.999.396.880.349.700
3.783.237.003.936.550;-9.251.402.978.271.760;5.402.994.646.554.810;15.817.285.757.279.900;6.929.020.723.066.030
3.000.000.055.148.020;-10.286.706.669.025.500;7.781.171.899.466.600;881.649.317.807.299;4.161.051.124.416.010
3.365.586.585.452.480;-11.180.408.037.764.000;18.127.127.916.901.800;5.668.725.523.937.950;9.787.925.657.446.930
30.427.206.648.724.300;-7.183.935.209.366.680;6.453.285.561.491.990;9.823.171.533.542.400;8.758.266.587.989.450
3.006.800.769.105.700;-11.298.068.789.227.300;5.022.151.751.592.240;81.094.757.687.424;7.946.651.396.965.190
30.506.300.054.908.800;-8.358.537.622.212.670;5.746.576.416.102.780;940.289.069.301.454;936.889.291.972.085
30.643.946.908.928.700;-11.136.937.057.997.000;5.025.882.832.180.010;0.08134053289191019;9.989.725.716.385.980
30.738.139.741.725.900;-11.119.423.603.368.200;18.234.124.038.748.700;9.576.268.281.243.640;9.465.773.916.497.340
4.913.854.093.005.790;-10.279.123.797.569.600;6.970.011.705.355.660;0.2650430937089048;9.725.580.950.008.480
31.680.827.047.072.200;-7.613.874.365.730.500;7.833.226.671.231.080;7.466.957.828.960.730;5.398.072.440.600.710
321.850.950.565.977;-921.793.222.360.923;17.000.173.539.762.800;8.907.735.572.460.110;9.871.086.420.809.210
4.912.618.382.038.430;-9.274.200.718.475.850;1.038.772.958.248.450;985.844.779.254.526;2.498.941.207.462.550
4.839.635.008.194.450;-9.170.231.175.601.210;6.541.029.274.298.460;9.712.972.299.348.790;3.086.707.969.252.630
3.041.502.102.830.770;-705.835.545.836.444;5.009.403.859.005.930;35.675.003.985.792.600;12.116.383.340.397.500
3.645.380.550.506.790;-10.963.889.298.277.400;509.666.452.981.488;9.992.930.523.624.640;3.476.174.110.281.750
31.608.523.493.990.600;-7.246.655.733.448.550;50.392.342.558.983.700;0.3109418914431177;0.25181892003877016
31.476.795.068.192.300;-11.466.466.504.414.400;5.045.401.402.699.530;5.028.652.394.877.750;0.4790039333057763
3.393.699.682.218.490;-7.142.772.750.632.910;10.376.970.559.438.000;7.638.348.257.921.480;0.4332712136502641
4.320.003.868.613.740;-8.324.016.774.529.500;969.446.457.639.516;21.176.377.975.837.300;49.465.099.887.782.700
40.276.316.300.820.000;-9.345.875.362.223.200;5.296.367.172.735.640;955.190.810.604.979;7.027.547.994.507.290
34.815.071.834.024.900;-11.946.320.532.442.500;5.000.000.001.882.210;4.838.951.219.244.230;20.129.683.832.470.000
4.082.045.431.198.230;-72.809.173.360.452;5.723.755.955.794.770;969.914.107.927.398;9.630.669.527.700.490
4.966.757.831.242.490;-10.241.009.922.966.200;15.208.836.702.523.600;9.988.198.192.922.230;9.997.728.869.225.400
435.428.386.043.868;-11.982.833.754.854.100;5.005.104.842.619.650;9.992.313.782.751.350;9.672.179.024.296.460
334.872.905.487.524;-7.940.083.037.650.930;6.471.504.157.198.260;9.977.329.405.927.590;462.124.849.255.635
3.500.412.639.419.410;-1.158.475.934.396.420;5.000.000.291.083.660;9.809.338.335.165.410;9.104.510.076.438.650
3.903.032.145.973.740;-7.026.265.292.389.180;5.006.950.787.697.640;0.06825811580186819;9.999.142.064.717.010
30.362.562.712.683.900;-9.066.805.287.402.580;5.673.187.729.642.810;9.433.539.476.721.730;12.994.255.509.075.400
3.235.521.227.625.500;-7.036.697.283.357.450;10.323.754.023.676.400;79.667.955.492.622.400;9.951.947.880.098.840
3.291.792.385.819.700;-7.000.010.318.621.430;6.407.837.637.511.270;7.150.286.090.800.490;0.8559029654123395
30.371.364.444.884.400;-7.054.480.452.474.230;518.533.722.702.691;579.046.624.095.597;9.998.080.160.530.970
3.350.245.704.605.620;-883.928.216.057.889;5.096.631.211.795.950;9.977.098.818.849.680;0.5329097007686185
41.268.629.904.562.400;-8.848.465.863.479.940;1.956.879.764.991.490;0.11812636820837151;9.946.827.253.633.290
46.252.805.952.396.400;-8.141.090.887.862.560;5.000.019.508.824.970;5.868.301.760.029.180;7.469.880.081.243.940
39.924.141.170.663.800;-703.375.908.680.305;501.497.410.376.915;11.808.294.414.480.900;9.960.159.455.033.560
36.920.501.965.534.700;-7.863.065.364.171.680;585.652.732.059.267;0.18081462437107043;9.693.303.612.591.550
35.604.797.964.459.400;-7.553.058.644.154.450;5.002.039.234.623.280;8.232.954.434.057.070;8.076.456.432.917.500
4.040.073.204.211.120;-7.878.470.989.371.120;5.000.000.443.017.490;3.465.719.218.181.330;9.954.228.113.966.010
3.046.971.141.507.580;-9.599.307.879.639.890;5.000.251.158.442.960;19.828.846.637.644.800;9.999.816.961.965.780
3.002.511.460.501.720;-11.186.379.143.878.400;1.708.172.345.386.870;10.268.822.564.421.600;5.414.703.500.196.870
4.999.640.063.165.470;-9.762.319.406.219.190;5.277.493.972.574.650;0.7271354244086907;10.751.218.884.994.100
3.087.783.931.452.130;-11.899.422.235.215.500;10.263.770.634.456.400;6.648.385.120.997.780;9.250.928.858.665.960
30.086.693.995.974.300;-7.008.869.393.390.530;503.790.940.348.375;38.759.721.036.087.100;599.376.185.358.369
4.619.097.679.847.010;-10.933.403.303.895.000;528.815.063.884.179;0.11288258694487045;9.900.562.914.136.490
30.023.396.084.581.100;-7.170.415.229.644.660;5.025.878.626.268.630;9.890.993.863.431.300;9.877.401.806.460.580
4.784.600.535.827.440;-11.614.249.110.467.200;15.746.517.384.012.600;0.5777663765982873;9.847.258.179.291.390
40.422.294.067.009.200;-7.011.779.364.463.610;5.000.536.500.522.740;988.709.969.435.675;12.923.692.890.441.300
3.263.001.673.989.880;-7.003.501.700.076.510;15.328.831.682.068.700;2.774.953.832.536.290;9.867.690.599.085.640
3.112.444.103.116.610;-8.216.281.849.375.010;629.293.139.032.195;7.138.566.823.658.570;4.474.544.764.987.490
3.900.923.106.227.990;-10.061.756.741.167.300;8.072.514.053.484.500;17.940.251.524.536.400;0.3412418640696135
3.282.097.435.560.920;-9.372.714.444.268.210;5.004.799.070.084.930;4.202.597.254.919.710;9.909.539.731.515.370
3.847.016.405.780.500;-9.052.325.468.138.600;5.051.784.555.148.560;9.981.662.423.906.950;3.931.293.478.898.740
4.168.567.567.522.360;-8.801.518.963.682.940;5.232.882.910.066.450;982.620.188.460.556;1.834.521.932.256.300
4.865.194.893.765.260;-10.554.793.291.670.400;5.001.750.918.493.600;9.429.024.507.961.240;6.079.489.327.229.080
37.115.948.052.732.800;-11.696.019.008.707.200;7.555.265.900.518.320;6.928.161.406.184.510;9.516.581.719.957.060
4.330.774.497.922.160;-10.158.048.942.210.900;5.097.037.966.167.740;9.990.521.212.343.270;7.461.829.970.683.930
4.194.090.625.345.710;-7.195.368.524.446.570;1.236.127.306.590.720;13.380.709.117.796.700;33.088.735.344.047.600
4.867.267.920.004.780;-80.176.376.670.722;5.010.492.506.623.960;8.959.041.804.564.470;575.403.107.375.224
344.053.495.800.387;-7.313.983.319.813.810;6.573.312.356.809.000;13.116.955.648.244.400;5.220.992.838.733.820
30.562.727.329.005.900;-7.000.716.399.075.190;5.000.000.000.000.000;5.519.174.370.054.290;3.249.477.120.332.910
30.048.370.775.839.300;-8.234.908.601.070.550;7.666.507.169.104.340;17.531.963.752.855.800;6.798.792.925.571.480
4.039.838.326.262.740;-9.661.742.640.973.450;70.201.772.975.778.200;8.974.713.505.190.410;8.343.258.520.276.060
32.111.876.731.490.200;-10.071.530.778.651.500;7.467.984.416.812.110;997.835.081.391.883;14.467.674.460.313.500
30.438.716.535.888.400;-7.101.328.015.340.980;50.000.362.174.556.200;9.430.816.672.085.560;8.151.182.622.237.770
49.955.588.757.855.500;-7.532.847.497.751.020;5.015.427.868.316.720;6.367.478.350.528.960;9.748.420.524.409.980
30.767.730.166.821.200;-7.507.527.793.158.040;7.487.395.966.825.280;9.910.991.366.410.940;0.8952696099561418
41.804.573.115.266.900;-8.739.628.832.711.070;5.000.000.004.464.730;2.857.901.618.936.360;0.7092543558784649
30.113.812.478.834.500;-10.482.550.894.213.000;952.226.818.329.892;62.837.722.585.506.300;9.598.121.185.283.640
30.413.247.949.119.000;-882.398.029.351.528;6.541.009.640.774.170;0.16182515953721513;8.468.495.651.168
34.496.185.910.266.900;-7.000.380.190.422.830;5.000.085.342.863.640;4.777.568.388.013.300;7.999.833.499.077.210
31.760.739.465.795.000;-8.567.192.237.495.840;15.229.915.771.840.400;9.372.692.249.873.600;998.853.255.162.355
3.031.792.725.810.700;-11.261.411.301.084.700;6.413.742.961.920.530;9.694.072.321.658.970;999.670.696.285.185
4.381.509.687.117.640;-8.648.118.019.408.100;5.004.786.079.504.150;4.766.520.848.207.310;7.068.402.954.180.440
30.182.755.974.609.400;-7.001.269.300.648.940;5.000.733.394.312.730;0.010693102087596527;9.920.346.534.754.680
46.563.827.423.775.300;-753.125.780.117.949;50.026.379.145.092.900;2.123.342.875.836.130;2.461.442.627.120.290
3.129.489.112.565.560;-7.582.035.942.143.050;5.086.074.135.234.470;6.532.778.513.183.020;8.054.551.655.514.100
345.226.047.573.625;-72.958.142.334.885;11.755.705.706.833.000;9.997.860.483.935.460;9.999.978.746.887.160
3.091.665.451.592.520;-7.431.220.538.572.190;7.022.677.539.616.060;5.243.004.397.284.440;9.695.631.576.990.980
3.241.924.218.568.600;-7.197.217.662.877.320;534.997.711.305.993;6.546.811.811.745.340;9.701.088.381.467.860
35.390.475.277.331.700;-8.450.663.427.207.070;1.735.431.628.368.600;7.629.458.771.150.550;6.642.702.317.414.010
3.074.583.541.358.390;-7.014.534.216.862.350;7.355.878.995.544.520;25.044.771.968.708.600;3.017.269.576.101.350
3.000.119.068.439.580;-1.182.746.605.779.470;7.646.881.995.927.960;7.852.107.030.080.650;7.054.001.606.963.340
45.923.179.478.618.700;-10.367.035.374.793.500;50.006.966.055.048.100;7.219.907.185.474.930;5.927.817.762.344.560
4.710.341.396.967.150;-9.288.529.810.661.950;6.328.587.223.903.490;9.724.731.476.037.330;927.601.012.034.701
36.264.659.831.603.700;-1.121.378.336.355.270;61.253.385.917.443.100;8.153.973.125.063.440;9.970.249.768.649.360
3.091.408.489.527.830;-7.237.276.264.594.960;50.220.817.076.595.000;0.03362096263953142;5.699.461.076.569.880
4.485.799.829.772.840;-10.752.041.814.528.600;5.498.391.666.295.600;0.4215362732210592;0.648096125136123
31.635.859.735.051.100;-7.211.545.415.451.860;64.320.130.833.898.700;5.317.062.781.208.280;9.976.133.469.994.220
3.361.713.739.141.830;-8.786.683.200.086.700;5.178.446.083.755.930;22.742.847.128.413.700;9.441.786.346.494.770
4.960.925.852.158.860;-11.725.831.971.546.200;5.476.159.464.605.740;0.9629917714007941;9.991.818.403.180.480
31.529.665.339.237.600;-7.092.473.980.292.100;5.915.144.280.666.810;14.735.952.967.071.000;9.723.053.390.635.010
4.937.473.164.629.050;-9.648.069.968.952.620;500.000.497.469.145;7.711.985.021.725.440;999.985.443.591.446
49.635.672.352.859.800;-11.738.565.100.353.000;19.465.254.870.111.700;0.1175957299467072;9.974.739.032.311.160
30.947.694.375.325.600;-10.879.739.129.601.700;5.082.877.927.988.930;2.911.844.369.630.280;9.996.467.367.573.740
3.016.012.993.336.070;-7.084.414.578.645.800;5.495.057.364.630.830;0.7425030234274056;9.993.936.202.235.050
460.831.295.920.494;-8.180.257.769.087.580;5.962.061.723.621.350;0.0012549858691855104;5.725.218.990.786.600
4.122.793.855.307.610;-8.602.743.024.183.040;6.547.558.528.565.080;15.044.633.328.036.200;8.494.539.551.083.870
4.564.241.886.057.330;-9.884.660.397.122.400;17.848.808.126.799.300;8.444.304.758.680.990;9.716.305.730.409.720
3.091.661.805.315.750;-97.938.783.678.785;57.050.909.214.153.100;208.710.079.545.585;49.403.315.892.656.300
42.854.560.281.540.000;-9.870.011.170.527.480;5.131.160.339.180.590;6.603.904.940.275.220;9.990.631.736.492.780
3.631.923.316.206.480;-9.054.988.694.586.170;5.002.258.377.280.530;5.260.943.529.331.570;9.602.645.717.287.870
3.183.394.869.180.050;-8.044.261.597.939.800;500.008.754.339.802;9.589.851.019.429.280;1.553.433.756.410.580
3.555.448.756.313.920;-7.107.640.774.435.350;5.332.971.328.599.090;6.719.763.169.345.250;9.882.302.744.380.240
3.010.081.368.192.770;-10.615.063.389.772.800;5.184.700.541.235.330;398.622.730.242.348;33.596.193.113.379.400
43.105.384.163.087.400;-877.402.038.407.659;10.721.110.832.300.500;680.201.995.339.091;9.905.523.976.485.770
448.490.980.028.379;-11.728.667.746.354.700;5.000.021.763.162.700;8.460.091.293.295.700;9.845.427.805.406.880
48.080.476.622.069.600;-11.977.087.146.319.300;1.817.506.968.394.420;2.178.917.269.518.220;11.864.056.879.803.500
31.381.035.205.206.500;-11.673.144.868.883.400;5.004.418.039.133.900;0.011291620039319205;1.479.670.930.376.430
3.027.246.736.857.780;-10.269.415.776.761.200;5.000.000.183.363.520;950.539.097.046.573;3.664.650.392.951.700
3.010.778.410.964.910;-11.874.912.635.708.200;50.005.149.347.739.000;17.958.673.821.962.500;4.224.813.872.641.140
4.939.445.079.000.270;-8.650.329.396.522.690;13.879.773.814.748.700;0.27711178626789784;60.439.776.122.407
4.916.220.983.992.030;-773.159.333.337.301;501.979.339.701.562;30.200.884.825.229.600;2.078.897.445.105.430
45.102.600.950.911.800;-11.789.126.113.279.600;5.000.329.420.672.040;0.09597541514255105;9.862.481.362.970.210
3.492.270.692.452.820;-11.397.969.504.318.300;5.000.053.327.465.710;24.316.494.377.504.700;9.131.332.055.421.440
30.412.762.154.546.100;-11.159.872.070.771.800;1.304.912.880.790.510;9.564.967.948.239.710;997.430.934.031.801
30.801.869.843.248.200;-7.194.987.052.614.800;11.904.181.290.608.000;9.395.085.695.202.180;9.188.519.684.361.150
4.293.782.210.308.970;-7.509.006.216.419.740;5.083.931.931.938.240;7.322.960.233.355.350;992.397.217.651.204
48.883.517.499.181.000;-9.378.426.669.863.260;50.000.196.782.109;709.778.191.292.183;8.622.252.116.967.190
49.142.342.916.348.800;-7.236.189.994.932.380;8.649.172.223.218.850;21.727.848.632.309.500;9.627.065.128.872.590
3.707.509.997.290.160;-10.377.205.793.384.200;5.009.694.508.896.300;9.998.996.198.326.700;39.712.413.502.334.900
30.877.332.284.544.300;-832.638.400.871.815;5.845.812.001.947.390;10.291.980.603.763.800;1.890.873.159.981.740
4.363.884.979.473.520;-7.541.377.665.334.910;8.954.737.826.617.510;1.529.977.437.945.550;7.399.985.676.795.380
471.626.049.194.935;-11.983.053.673.468.000;763.513.685.849.197;3.963.354.699.051.530;1.769.933.225.993.260
4.993.264.361.937.120;-8.170.407.416.617.510;8.584.696.595.763.220;8.882.052.106.730.050;9.872.223.226.196.950
468.432.675.344.705;-7.120.774.683.582.910;5.764.275.151.030.320;14.382.849.736.396.400;2.357.605.581.515.870
3.881.229.159.525.170;-11.903.704.232.274.300;14.114.575.262.467.900;9.940.877.891.687.050;9.890.004.317.115.280
4.733.843.288.224.820;-1.140.757.696.772.270;16.583.793.158.479.700;0.6228203913012595;9.999.494.379.143.030
30.002.902.622.113.300;-7.429.508.724.268.120;14.164.200.277.074.500;969.477.845.339.351;812.928.967.606.733
30.108.341.638.018.000;-7.720.043.852.349.080;5.000.003.563.571.390;2.398.385.710.849.620;7.688.331.080.739.050
3.432.266.832.381.540;-1.195.700.382.424.090;5.098.009.297.353.460;21.339.980.667.616.600;9.891.467.855.690.120
49.458.506.128.552.600;-7.245.829.132.957.650;8.165.647.286.435.880;0.6960383072637195;8.153.040.409.031.100
48.419.496.744.164.700;-11.791.652.631.852.900;136.095.930.595.063;9.031.362.272.332.040;985.977.409.522.233
30.219.389.635.292.700;-7.164.174.563.569.960;6.484.832.165.958.850;9.220.459.331.999.620;9.819.145.307.821.710
30.045.382.957.165.300;-11.566.754.008.789.700;50.001.485.520.754.100;8.560.595.091.531.050;8.179.980.580.294.040
3.523.651.894.495.020;-7.343.093.201.380.240;7.124.647.288.914.510;8.462.398.996.663.300;8.908.527.395.954.130
4.388.336.670.007.730;-8.462.633.777.371.310;5.132.310.701.361.850;0.8760359833160837;18.299.886.659.544.800
4.027.953.104.740.350;-7.819.906.004.121.060;5.000.000.063.768.320;5.216.440.083.312.270;9.992.867.637.200.250
4.076.482.863.109.000;-10.747.898.178.063.500;16.464.636.666.267.400;0.01007867358660543;0.2780209815522813
34.088.058.838.945.900;-9.755.889.357.639.950;5.000.050.756.861.850;4.854.626.709.382.860;38.833.362.070.760.100
3.643.252.257.477.370;-7.376.331.589.975.370;11.359.373.025.045.900;29.677.158.924.625.600;9.936.830.280.668.020
3.992.294.688.160.760;-10.894.070.203.923.700;9.610.789.728.899.650;19.718.213.366.684.800;33.431.723.799.130.400
30.024.949.742.040.000;-1.127.595.781.269.570;5.366.899.699.953.250;4.085.311.569.735.650;9.934.569.811.970.070
44.516.490.857.294.200;-7.085.121.476.782.830;5.000.565.942.457.580;6.912.966.349.216.770;9.999.994.849.117.670
341.431.864.046.322;-10.448.077.151.098.900;5.471.649.939.451.180;7.411.480.559.653.550;9.999.992.126.937.860
4.973.088.212.762.600;-998.515.878.105.698;10.934.905.683.505.800;0.2563615340905493;9.995.712.480.411.720
4.488.960.423.131.220;-7.000.095.718.302.320;8.290.852.115.654.660;39.728.372.556.293.700;7.377.171.767.441.780
3.643.373.695.473.970;-7.014.514.474.829.010;51.969.049.288.969.400;1.646.547.149.726.850;9.297.911.415.631.660
4.981.873.683.482.910;-7.007.594.495.981.480;19.007.310.527.478;21.673.185.669.452.300;8.117.304.065.999.380
3.503.231.154.547.450;-7.035.590.619.113.570;5.078.008.579.690.060;9.207.850.509.121.540;4.568.263.765.212.240
3.618.025.588.976.310;-7.769.733.912.103.540;5.322.313.958.652.710;0.722385242893218;9.754.644.251.732.030
3.037.171.120.602.940;-7.008.158.337.067.920;5.001.691.486.839.380;9.686.816.461.182.650;9.999.848.358.074.900
49.900.284.605.182.300;-10.763.549.935.744.100;5.407.323.128.223.190;8.815.379.669.827.120;740.324.069.842.195
3.916.190.186.002.080;-10.439.285.068.339.700;1.792.959.204.882.100;6.187.135.004.528.710;8.464.854.728.602.550
30.119.847.432.097.200;-1.006.840.986.764.890;16.236.397.166.032.300;0.027728007769941828;336.154.502.860.839
39.094.542.160.363.100;-8.073.823.143.905.270;5.033.904.137.707.010;5.321.657.817.272.060;9.933.135.339.115.050
4.148.772.071.823.720;-7.015.694.455.394.030;7.063.614.424.354.280;8.584.586.723.972.210;5.732.089.047.434.920
36.864.558.366.681.200;-9.682.721.414.994.130;9.300.056.994.853.960;9.704.937.728.492.060;9.721.552.942.449.910
30.160.830.878.859.900;-707.840.984.167.415;1.835.449.318.156.430;9.917.274.897.652.940;9.852.829.956.250.700
4.463.859.871.369.510;-871.955.824.708.885;1.628.671.886.452.450;7.715.687.451.288.260;6.431.239.170.750.450
30.444.760.551.708.800;-11.835.800.015.553.400;50.198.249.353.779.300;4.822.892.228.658.030;34.611.050.628.801.900
47.435.814.772.598.100;-7.512.156.336.820.870;6.951.732.580.585.220;9.289.994.481.733.140;9.932.751.865.662.700
30.343.412.511.481.900;-7.190.746.117.784.500;5.003.693.837.059.910;3.326.479.215.627.420;0.3421331306699603
4.587.099.421.390.740;-7.865.306.351.805.910;5.010.720.956.210.520;7.134.851.794.558.990;28.087.948.994.691.600
300.082.747.467.293;-1.017.442.914.701.040;8.363.496.204.399.750;0.400087104310497;7.475.285.000.558.150
44.503.756.929.613.300;-10.049.084.195.449.600;5.244.835.711.420.690;0.7518622470910953;6.603.153.207.967.110
4.999.527.671.332.140;-9.843.295.652.277.760;5.021.565.769.909.210;0.20240484267265635;8.558.620.074.722.180
4.710.369.757.127.120;-9.309.436.985.877.300;5.053.871.019.686.650;0.7784665388907935;4.192.326.096.161.710
3.449.624.240.426.440;-1.180.351.849.081.630;5.054.593.377.259.520;9.723.990.115.489.260;9.443.608.981.437.060
4.645.264.609.761.810;-7.074.041.639.543.170;79.244.720.925.777.400;7.484.186.476.955.040;8.095.254.252.829.110
3.214.548.138.242.030;-102.360.881.863.035;10.808.944.188.963.600;9.938.013.564.939.940;9.732.349.038.769.690
43.110.190.538.341.800;-11.719.990.026.452.400;5.011.390.386.077.550;51.701.276.278.098.000;8.818.116.341.591.560
45.651.516.207.653.100;-9.013.579.912.910.550;15.114.201.050.583.900;935.678.862.447.983;8.216.200.599.459.550
42.847.417.456.065.800;-7.055.556.356.108.750;5.005.340.462.647.540;0.6228608839984677;999.450.386.026.526
46.480.538.301.715.900;-8.085.080.149.688.280;5.001.094.073.821.090;0.3003903527861944;19.575.040.365.089.700
30.143.135.124.846.800;-7.317.311.004.262.600;50.164.024.194.862.000;0.47156950572850787;9.999.929.828.793.140
4.550.312.000.778.960;-10.200.882.485.893.500;5.000.002.435.263.220;4.349.313.705.405.620;6.758.259.290.058.310
37.184.143.963.218.200;-7.734.520.422.248.190;17.985.935.211.272.400;4.467.022.478.538.160;999.950.885.095.359
4.076.602.889.310.390;-11.513.801.901.282.100;5.732.392.158.703.530;0.7025334423976963;0.6430659130308172
304.334.823.536.216;-7.151.526.910.641.560;5.000.000.035.709.440;9.248.390.369.204.600;33.260.156.915.571.600
30.420.669.638.860.300;-7.822.298.135.530.390;9.781.568.418.482.900;66.543.438.619.070.000;5.946.220.634.341.300
30.574.404.068.671.000;-9.715.569.950.368.940;5.294.459.769.993.120;9.999.879.870.836.330;38.293.825.642.438.400
4.727.298.136.130.270;-11.445.250.853.443.300;5.033.255.439.771.020;2.810.575.736.179.220;9.954.173.892.615.050
30.697.824.349.454.700;-10.512.260.381.875.700;19.613.878.498.936.200;0.25701666864346584;30.529.270.560.191.600
4.487.983.344.019.620;-7.003.271.533.691.270;50.030.027.281.680.000;7.720.217.985.505.820;41.235.501.177.511.500
47.576.786.138.051.300;-11.397.338.543.472.500;5.006.371.204.723.810;5.423.912.056.674.360;1.384.587.475.224.770
4.168.823.850.976.760;-9.431.919.391.531.880;5.468.421.985.013.640;48.399.591.874.648.700;9.983.222.701.354.030
4.437.351.124.084.110;-11.981.726.706.255.900;7.592.104.774.482.910;0.19762839707034655;35.599.647.481.614.400
31.323.440.346.434.300;-9.870.024.783.039.560;5.014.836.453.352.430;0.813639933812941;38.157.650.984.658.600
41.505.726.080.494.300;-11.295.187.784.727.300;6.038.624.875.006.000;15.305.856.434.570.800;3.921.137.522.849.600
4.292.991.542.178.280;-11.846.197.051.323.900;5.103.866.820.659.400;0.02160533775417979;9.643.036.492.951.740
4.159.317.040.101.330;-11.596.501.247.502.700;10.676.853.767.646.800;8.934.951.731.638.790;53.458.382.207.406.400
3.040.541.429.918.930;-1.087.360.288.257.080;8.330.023.924.478.550;23.465.157.743.248.600;4.122.698.931.375.690
36.388.535.755.295.600;-8.787.251.108.253.700;5.007.538.049.216.780;865.843.063.656.103;3.635.571.475.553.600
49.789.203.632.035.200;-11.164.555.024.745.700;10.591.036.998.753.900;49.392.776.985.709.200;7.852.406.756.774.490
47.498.727.757.935.800;-7.006.042.020.112.500;6.013.310.663.154.610;0.5659626955888015;9.288.896.189.687.310
3.016.908.160.127.320;-11.857.325.587.519.700;50.241.728.230.422.600;891.017.032.651.676;6.447.348.125.012.590
4.953.216.001.553.660;-7.158.639.880.039.980;5.032.376.672.660.120;0.6237298462857224;974.974.416.817.591
3.000.000.068.172.050;-9.279.037.419.800.100;50.672.886.424.325.000;10.705.279.818.062.200;9.969.202.765.812.360
3.310.107.328.933.820;-9.432.458.542.416.120;6.726.148.544.785.080;0.11340345894865018;9.986.433.740.547.060
3.437.154.430.433.790;-928.680.212.430.116;5.000.039.741.138.950;0.9889384803526211;8.105.357.790.294.440
3.009.352.048.272.050;-7.287.574.384.007.320;5.158.822.447.537.490;6.332.681.611.895.190;0.6416721519418179
3.657.427.123.227.630;-11.771.695.775.117.800;5.359.228.510.120.670;17.718.845.251.790.900;9.988.712.329.199.110
3.313.465.154.140.040;-7.002.639.453.096.070;5.003.429.583.512.590;5.628.728.104.590.340;13.904.253.763.486.200
30.208.802.866.075.500;-895.022.619.835.344;5.014.494.821.892.450;24.116.571.295.999.200;0.23319062544341285
3.368.940.371.887.450;-7.697.164.832.284.140;922.180.197.605.691;24.430.795.659.711.100;9.539.335.066.152.160
32.176.322.525.211.800;-8.375.620.926.563.710;5.005.025.449.944.140;210.213.209.811.229;995.576.266.704.396
335.545.660.972.338;-8.103.256.743.697.090;5.118.819.008.584.380;14.771.895.904.361.100;7.494.312.026.975.580
3.110.821.456.656.080;-10.429.515.415.890.200;9.986.663.581.105.150;9.990.815.077.050.090;7.972.551.615.200.130
30.001.097.689.140.000;-7.150.522.246.892.150;5.105.891.534.234.490;9.933.293.746.745.310;8.835.030.829.018.510
34.096.528.671.337.300;-9.890.843.590.619.020;5.000.000.954.439.400;8.222.445.582.142.820;9.604.153.211.655.630
3.228.361.021.027.030;-11.398.158.493.695.900;8.716.444.968.644.240;8.893.746.467.230.460;688.289.760.899.674
3.471.348.054.244.280;-7.167.170.661.083.630;6.190.501.844.066.560;21.061.201.952.416.200;7.843.708.235.121.460
31.611.857.196.687.500;-117.015.089.460.186;5.010.818.463.256.900;780.588.411.032.498;8.740.806.568.016.940
4.679.363.785.806.090;-7.000.875.924.625.720;12.950.949.113.650.500;79.006.293.085.103.600;6.612.474.798.991.590
3.960.024.036.316.610;-7.308.607.622.798.440;5.000.265.966.910.640;0.037647585347004846;90.227.126.882.383
4.130.666.391.814.780;-8.155.192.134.432.520;78.509.620.797.878.700;1.196.025.548.733.140;8.781.272.387.908.470
452.822.000.694.564;-10.073.479.369.580.100;7.072.685.949.862.980;18.084.804.616.010.500;5.246.277.208.659.450
3.305.271.929.739.290;-862.824.928.717.288;10.549.944.165.841.000;31.409.471.696.397.000;8.907.514.362.104.990
4.241.913.667.104.830;-718.597.644.579.801;6.572.783.376.291.090;6.293.546.381.071.680;5.890.488.465.561.950
38.417.698.007.921.900;-10.568.038.543.737.000;5.009.084.642.712.310;6.093.124.654.553.290;8.644.447.756.274.010
46.142.112.727.741.800;-7.485.913.612.503.760;964.442.824.347.379;67.837.269.755.244.500;999.999.048.564.613
47.408.707.626.052.400;-8.430.570.921.235.930;5.010.881.575.032.560;9.351.244.292.791.240;7.980.135.118.010.130
379.228.898.339.465;-7.762.700.068.489.900;5.204.031.820.775.570;957.833.265.501.098;9.999.005.445.702.670
32.626.250.033.429.200;-8.410.811.438.989.200;8.336.729.200.271.680;8.411.305.115.478.380;977.774.920.349.075
4.262.544.843.089.410;-7.255.863.729.724.040;5.808.802.926.673.760;9.781.081.871.482.500;4.550.357.969.070.120
32.507.471.130.882.300;-7.038.310.832.232.090;13.928.055.823.369.000;9.492.891.986.505.950;9.965.314.683.150.490
35.686.293.605.335.300;-7.010.339.822.989.730;5.007.950.121.524.830;0.9925590360606393;9.998.352.717.766.110
